epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
188/299,12.8G,0.03844,0.007031,0,0.04547,220,640,0.9435,0.9056,0.9612,0.6492,0.05172,0.02301,0
189/299,12.8G,0.03707,0.007174,0,0.04424,189,640,0.957,0.8962,0.9568,0.6452,0.05221,0.02299,0
190/299,12.8G,0.04264,0.00694,0,0.04958,174,640,0.9548,0.8962,0.962,0.6518,0.05193,0.02293,0
191/299,12.8G,0.03842,0.00714,0,0.04556,193,640,0.9519,0.8868,0.9597,0.6528,0.05208,0.02309,0
192/299,12.8G,0.03523,0.006934,0,0.04216,181,640,0.9116,0.9245,0.9603,0.6496,0.0525,0.0233,0
193/299,12.8G,0.04154,0.007109,0,0.04864,195,640,0.948,0.9033,0.9634,0.6503,0.05254,0.02349,0
194/299,12.8G,0.03722,0.00711,0,0.04433,189,640,0.9372,0.9151,0.9633,0.6576,0.05229,0.02348,0
195/299,12.8G,0.039,0.007012,0,0.04602,179,640,0.9457,0.9032,0.9615,0.651,0.05251,0.02321,0
196/299,12.8G,0.03982,0.007183,0,0.047,178,640,0.9282,0.9144,0.9608,0.6536,0.05272,0.02315,0
197/299,12.8G,0.04219,0.006902,0,0.04909,201,640,0.9308,0.9198,0.9601,0.6528,0.05263,0.02298,0
198/299,12.8G,0.04294,0.007148,0,0.05009,220,640,0.9324,0.9103,0.9579,0.645,0.05205,0.02286,0
199/299,12.8G,0.04203,0.007295,0,0.04932,187,640,0.9455,0.9009,0.9592,0.645,0.05159,0.02293,0
200/299,12.8G,0.04015,0.007037,0,0.04718,187,640,0.9287,0.9217,0.9606,0.6495,0.05142,0.02305,0
201/299,12.8G,0.03923,0.007282,0,0.04651,157,640,0.9204,0.9267,0.9596,0.6439,0.05182,0.02297,0
202/299,12.8G,0.0352,0.006978,0,0.04218,204,640,0.937,0.9127,0.9647,0.6501,0.05211,0.02306,0
203/299,12.8G,0.03927,0.007115,0,0.04639,219,640,0.931,0.9269,0.9654,0.6579,0.0518,0.02321,0
204/299,12.8G,0.04205,0.006758,0,0.04881,195,640,0.9577,0.908,0.9624,0.6589,0.05142,0.02336,0
205/299,12.8G,0.03967,0.007225,0,0.0469,166,640,0.9414,0.9151,0.9605,0.6597,0.05226,0.02305,0
206/299,12.8G,0.0367,0.006764,0,0.04346,219,640,0.9324,0.9103,0.9593,0.6532,0.05267,0.02328,0
207/299,12.8G,0.03839,0.006975,0,0.04536,167,640,0.9245,0.924,0.9619,0.6502,0.05257,0.02335,0
208/299,12.8G,0.04036,0.007116,0,0.04747,218,640,0.9351,0.9174,0.9621,0.654,0.05253,0.02312,0
209/299,12.8G,0.03837,0.006839,0,0.04521,185,640,0.9126,0.9362,0.9604,0.6521,0.05287,0.02271,0
210/299,12.8G,0.04297,0.006701,0,0.04967,131,640,0.9215,0.9151,0.9573,0.6476,0.0529,0.02257,0
211/299,12.8G,0.03789,0.007369,0,0.04526,217,640,0.9276,0.908,0.9566,0.6391,0.05275,0.0228,0
212/299,12.8G,0.03487,0.007062,0,0.04194,193,640,0.9371,0.9151,0.9596,0.6409,0.05241,0.02275,0
213/299,12.8G,0.03555,0.007007,0,0.04256,209,640,0.9535,0.8986,0.9533,0.6419,0.05228,0.02251,0
214/299,12.8G,0.03519,0.007279,0,0.04247,197,640,0.9596,0.8962,0.9558,0.6517,0.0522,0.02233,0
215/299,12.8G,0.03758,0.007118,0,0.0447,198,640,0.9444,0.9221,0.9589,0.6546,0.05201,0.02249,0
216/299,12.8G,0.03709,0.006905,0,0.04399,219,640,0.9466,0.9197,0.956,0.6583,0.05186,0.0227,0
217/299,12.8G,0.03462,0.006506,0,0.04113,145,640,0.9398,0.9222,0.9568,0.6584,0.05155,0.02284,0
218/299,12.8G,0.03993,0.006945,0,0.04688,219,640,0.9289,0.9245,0.9524,0.6485,0.0518,0.02297,0
219/299,12.8G,0.03519,0.00687,0,0.04206,169,640,0.9459,0.908,0.9528,0.6442,0.05188,0.02333,0
220/299,12.8G,0.03794,0.007021,0,0.04496,179,640,0.9532,0.9127,0.9573,0.6498,0.05146,0.02358,0
